stop_id,stop_name,stop_desc,stop_lat,stop_lon
100a,Madigan Hospital,Stop inside Madigan's SW Parking Lot next to the covered awning.,47.108633,-122.554111
100b,Madigan Hospital,Stop inside Madigan's SW Parking Lot next to the covered awning.,47.108669,-122.553953
101a,SFAC and WTB,Stop alongside Gardener LP outside the SFAC/WTB,47.105703,-122.554025
101b,SFAC and WTB,Stop alongside Gardener LP outside the SFAC/WTB,47.105603,-122.553569
110a,Madigan HHC,,47.106092,-122.545403
110b,Madigan HHC,,47.106172,-122.545258
112a,Fisher House,,47.101528,-122.543956
112b,Fisher House,,47.101583,-122.543833
113a,Madigan Annex,,47.100964,-122.540094
113b,Madigan Annex,,47.101072,-122.540289
115a,McKinley & E Johnson,,47.102642,-122.538042
115b,McKinley & E Johnson,,47.102675,-122.537825
117a,McKinley & Garfield,,47.105989,-122.539136
117b,McKinley & Garfield,,47.106031,-122.538847
140a,Four Chaplains Chapel,,47.102978,-122.555708
140b,Four Chaplains Chapel,,47.103192,-122.554767
141a,Hillside at Jackson,,47.098631,-122.561603
141b,Hillside at Jackson,,47.098811,-122.560836
200a,3RD Division & Pendleton,,47.092108,-122.569292
200b,3RD Division & Pendleton,,47.0919,-122.569042
201a,National Guard,,47.092036,-122.571842
201b,National Guard,,47.092056,-122.572033
212a,Stone Education,,47.094906,-122.576436
212b,Stone Education,,47.094758,-122.5765
217a,Hillside at Colorado,,47.097033,-122.583244
217b,Hillside at Colorado,,47.09715,-122.584147
220a,Pendleton Shoppette,,47.090958,-122.571933
220b,Pendleton Shoppette,,47.090317,-122.57195
222a,3RD Division & Bennett,,47.089386,-122.567806
223a,5TH ASOS,,47.087425,-122.570872
223b,5TH ASOS,,47.087697,-122.570772
224a,DPTMS Training Branch,,47.084658,-122.570461
224b,DPTMS Training Branch,,47.084942,-122.570292
225a,Soldiers Fieldhouse,,47.081917,-122.570417
225b,Soldiers Fieldhouse,,47.082169,-122.570253
226a,16TH CAB HQ,,47.077989,-122.571236
226b,16TH CAB HQ,,47.0779,-122.571122
227a,Evergreen Theatre,,47.075458,-122.572294
227b,Evergreen Theatre,,47.075453,-122.572136
228a,2-75 Ranger Battalion,,47.071842,-122.573758
228b,2-75 Ranger Battalion,,47.071886,-122.573606
270a,296 BSB and 23 BEB,,47.069528,-122.580997
270b,296 BSB and 23 BEB,,47.069475,-122.581131
271a,1-14 Squadron HQ,,47.071078,-122.581567
271b,1-14 Squadron HQ,,47.071028,-122.581708
272a,2-3 Battalion HQ,,47.073536,-122.582922
272b,2-3 Battalion HQ,,47.073475,-122.583064
273a,Soldiers Chapel,,47.075675,-122.585311
273b,Soldiers Chapel,,47.075436,-122.585258
274a,Sheridan Gym,,47.077278,-122.587142
274b,Sheridan Gym,,47.077128,-122.587206
275a,1ST Brigade Headquarters,,47.07945,-122.589558
275b,1ST Brigade Headquarters,,47.079669,-122.590122
276a,Stryker & 41ST Division,,47.081819,-122.59335
276b,Stryker & 41ST Division,,47.081708,-122.593369
300a,Post Exchange,,47.093342,-122.588706
300b,Post Exchange,,47.093286,-122.588242
300c,Post Exchange,,47.093261,-122.588358
300d,Post Exchange,,47.093161,-122.588639
303a,14TH & Pendleton,,47.089939,-122.590692
303b,14TH & Pendleton,,47.089742,-122.589753
304a,Commissary,,47.089956,-122.592586
304b,Commissary,,47.089772,-122.592206
305a,Waller Hall,,47.090006,-122.595778
305b,Waller Hall,,47.089836,-122.595717
307a,Rainier Inn,,47.089969,-122.600186
307b,Rainier Inn,,47.089792,-122.600153
308a,I Corps,,47.090458,-122.603697
308b,I Corps,,47.090297,-122.603644
309a,Reception Center,,47.090703,-122.605142
310a,Public Works,,47.091536,-122.607431
310b,Public Works,,47.091303,-122.607183
311a,DFMWR,,47.092139,-122.609519
311b,DFMWR,,47.091972,-122.609506
313a,French Theatre,,47.093036,-122.612817
313b,French Theatre,,47.092783,-122.612344
315a,Joint Base Headquarters,,47.092461,-122.614575
316a,Main Chapel,,47.091406,-122.613647
320a,Jensen Gym,,47.088794,-122.605194
320b,Jensen Gym,,47.088939,-122.605117
322a,McVeigh Fitness,,47.088139,-122.600967
322b,McVeigh Fitness,,47.088272,-122.600931
324a,Carey Theater,,47.088044,-122.597839
324b,Carey Theater,,47.088167,-122.597881
325a,Cowan Stadium,,47.088003,-122.595094
325b,Cowan Stadium,,47.088133,-122.595089
327a,The Commons,,47.087894,-122.591619
327b,The Commons,,47.087922,-122.590467
351a,Unnamed,,,
351b,Unnamed,,,
353a,Unnamed,,,
353b,Unnamed,,,
355a,Unnamed,,,
355b,Unnamed,,,
357a,Unnamed,,,
357b,Unnamed,,,
359a,Unnamed,,,
359b,Unnamed,,,
371a,Unnamed,,,
371b,Unnamed,,,
372a,Unnamed,,,
372b,Unnamed,,,
373a,Unnamed,,,
373b,Unnamed,,,
375a,9TH Division & Mann AVE,,47.086056,-122.617211
375b,9TH Division & Mann AVE,,,
378a,Pittman Complex,,47.087242,-122.623008
378b,Pittman Complex,,,
379a,Albanese Hall,,47.087928,-122.625511
379b,Albanese Hall,,,
381a,Unnamed,,,
381b,Unnamed,,,
385a,Unnamed,,,
385b,Unnamed,,,
388a,ITAM,,47.089111,-122.621811
388b,ITAM,,,
389a,Unnamed,,,
389b,Unnamed,,,
390a,Unnamed,,,
390b,Unnamed,,,
391a,Main Post Office,,47.09135,-122.616972
391b,Main Post Office,,,
395a,Unnamed,,47.089867,-122.614597
395b,Unnamed,,,
400a,Army Museum,,47.097614,-122.616867
400b,Army Museum,,47.097706,-122.616947
410a,Raindrops and Rainbows CDC,,47.112822,-122.591083
410b,Raindrops and Rainbows CDC,,47.112806,-122.591256
413a,Beachwood Elementary,,47.120081,-122.589794
413b,Beachwood Elementary,,47.120075,-122.589978
414a,Eagle View II,,47.122511,-122.591689
414b,Eagle View II,,47.1224,-122.591758
415a,Eagle View,,47.124642,-122.595058
415b,Eagle View,,47.12445,-122.595056
450a,Lewis North ACU,,47.12595,-122.598253
450b,Lewis North ACU,,47.126161,-122.598464
450c,Lewis North ACU,,47.126044,-122.598897
451a,Lewis North Shoppette,,47.124161,-122.600403
452a,Lancer DFAC,,47.125236,-122.602336
453a,Hawk Education,,47.126336,-122.604075
454a,Unnamed,,,
455a,Unnamed,,,
456a,Unnamed,,,
458a,Unnamed,,,
459a,Unnamed,,,
460a,Unnamed,,,
461a,Unnamed,,,
462a,Unnamed,,,
463a,Unnamed,,,
464a,Unnamed,,47.127169,-122.605375
465a,Sports Complex,,47.128919,-122.608183
466a,Unnamed,,,
467a,Unnamed,,,
468a,Unnamed,,,
471a,Unnamed,,,
472a,Unnamed,,,
473a,Unnamed,,,
474a,17 FIB Barracks,,47.128853,-122.612981
475a,Unnamed,,47.131708,-122.612997
476a,2-2 SBCT Motor Pool,,47.132881,-122.611469
477a,Unnamed,,47.132983,-122.609919
478a,Unnamed,,47.131386,-122.607347
